Segmento;URA;Produto;Suporte;Transferência Telefone;Transferência Blip;Setor
800;492;EPE 1005+;Sim;varejo_energia;Varejo Energia;Varejo Energia
800;492;EPE 1006;Sim;varejo_energia;Varejo Energia;Varejo Energia
800;492;EPE 1008+;Sim;varejo_energia;Varejo Energia;Varejo Energia
800;492;EPS 301;Sim;varejo_energia;Varejo Energia;Varejo Energia
800;492;EPS 302;Sim;varejo_energia;Varejo Energia;Varejo Energia
ALARMES;490;AA1000R;Sim;gtc+unidade;Segurança Defense Alarmes;Segurança Defense Alarmes
ALARMES;490;AA1110T;Sim;gtc+unidade;Segurança Defense Alarmes;Segurança Defense Alarmes
ALARMES;490;AA1220T;Sim;gtc+unidade;Segurança Defense Alarmes;Segurança Defense Alarmes
ALARMES;454;AMT 1000 SMART;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
ALARMES;454;AMT 1004 RF;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
ALARMES;454;AMT 1016 NET;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
ALARMES;454;AMT 2008 RF;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
ALARMES;454;AMT 2010;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
ALARMES;454;AMT 2018;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
ALARMES;454;AMT 2018 E;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
ALARMES;454;AMT 2018 E 3G;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
ALARMES;454;AMT 2018 E SMART;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
ALARMES;454;AMT 2018 EG;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
ALARMES;454;AMT 2110;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
ALARMES;454;AMT 2118 EG;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
ALARMES;454;AMT 3010;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
ALARMES;454;AMT 4010 SMART;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
ALARMES;454;AMT 4010 SMART NET;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
ALARMES;454;AMT 8000;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
ALARMES;454;AMT Mobile V3;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
ALARMES;454;AMT REMOTO 4.85;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
ALARMES;454;AMT REMOTO 5;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
ALARMES;454;AMT REMOTO 6;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
ALARMES;454;AMT REMOTO MOBILE;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
ALARMES;454;ANM 1002;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
ALARMES;454;ANM 1002 MF;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
ALARMES;454;ANM 1004 MF;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
ALARMES;454;ANM 1004 PL;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
ALARMES;454;ANM 2003;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
ALARMES;454;ANM 2004 MF;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
ALARMES;454;ANM 2008 MF;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
ALARMES;454;ANM 24 NET;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
ALARMES;454;ANM 3004 ST;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
ALARMES;454;ANM 3008 ST;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
ALARMES;454;Atuador PGM 8000;Sim;seguranca_alarmes_sensores;Segurança MG;Segurança MG
